Gender,Race_ethnicity,Parental_level_of_education,Lunch,Test_preparation_course,Math_score,Reading_score,Writing_score
Female,group B,Bachelor'S Degree,standard,none,72,72,74
Female,group C,Some College,standard,completed,69,90,88
Female,group B,Master'S Degree,standard,none,90,95,93
Male,group A,Associate'S Degree,free/reduced,none,47,57,44
Male,group C,Some College,standard,none,76,78,75
Female,group B,Associate'S Degree,standard,none,71,83,78
Female,group B,Some College,standard,completed,88,95,92
Male,group B,Some College,free/reduced,none,40,43,39
Male,group D,High School,free/reduced,completed,64,64,67
Female,group B,High School,free/reduced,none,38,60,50
Male,group C,Associate'S Degree,standard,none,58,54,52
Male,group D,Associate'S Degree,standard,none,40,52,43
Female,group B,High School,standard,none,65,81,73
Male,group A,Some College,standard,completed,78,72,70
Female,group A,Master'S Degree,standard,none,50,53,58
Female,group C,Some High School,standard,none,69,75,78
Male,group C,High School,standard,none,88,89,86
Female,group B,Some High School,free/reduced,none,18,32,28
Male,group C,Master'S Degree,free/reduced,completed,46,42,46
Female,group C,Associate'S Degree,free/reduced,none,54,58,61
Male,group D,High School,standard,none,66,69,63
Female,group B,Some College,free/reduced,completed,65,75,70
Male,group D,Some College,standard,none,44,54,53
Female,group C,Some High School,standard,none,69,73,73
Male,group D,Bachelor'S Degree,free/reduced,completed,74,71,80
Male,group A,Master'S Degree,free/reduced,none,73,74,72
Male,group B,Some College,standard,none,69,54,55
Female,group C,Bachelor'S Degree,standard,none,67,69,75
Male,group C,High School,standard,none,70,70,65
Female,group D,Master'S Degree,standard,none,62,70,75
Female,group D,Some College,standard,none,69,74,74
Female,group B,Some College,standard,none,63,65,61
Female,group E,Master'S Degree,free/reduced,none,56,72,65
Male,group D,Some College,standard,none,40,42,38
Male,group E,Some College,standard,none,97,87,82
Male,group E,Associate'S Degree,standard,completed,81,81,79
Female,group D,Associate'S Degree,standard,none,74,81,83
Female,group D,Some High School,free/reduced,none,50,64,59
Female,group D,Associate'S Degree,free/reduced,completed,75,90,88
Male,group B,Associate'S Degree,free/reduced,none,57,56,57
Male,group C,Associate'S Degree,free/reduced,none,55,61,54
Female,group C,Associate'S Degree,standard,none,58,73,68
Female,group B,Associate'S Degree,standard,none,53,58,65
Male,group B,Some College,free/reduced,completed,59,65,66
Female,group E,Associate'S Degree,free/reduced,none,50,56,54
Male,group B,Associate'S Degree,standard,none,65,54,57
Female,group A,Associate'S Degree,standard,completed,55,65,62
Female,group C,High School,standard,none,66,71,76
Female,group D,Associate'S Degree,free/reduced,completed,57,74,76
Male,group C,High School,standard,completed,82,84,82
Male,group E,Some College,standard,none,53,55,48
Male,group E,Associate'S Degree,free/reduced,completed,77,69,68
Male,group C,Some College,standard,none,53,44,42
Male,group D,High School,standard,none,88,78,75
Female,group C,Some High School,free/reduced,completed,71,84,87
Female,group C,High School,free/reduced,none,33,41,43
Female,group E,Associate'S Degree,standard,completed,82,85,86
Male,group D,Associate'S Degree,standard,none,52,55,49
Male,group D,Some College,standard,completed,58,59,58
Female,group C,Some High School,free/reduced,none,0,17,10
Male,group E,Bachelor'S Degree,free/reduced,completed,79,74,72
Male,group A,Some High School,free/reduced,none,39,39,34
Male,group A,Associate'S Degree,free/reduced,none,62,61,55
Female,group C,Associate'S Degree,standard,none,69,80,71
Female,group D,Some High School,standard,none,59,58,59
Male,group B,Some High School,standard,none,67,64,61
Male,group D,Some High School,free/reduced,none,45,37,37
Female,group C,Some College,standard,none,60,72,74
Male,group B,Associate'S Degree,free/reduced,none,61,58,56
Female,group C,Associate'S Degree,standard,none,39,64,57
Female,group D,Some College,free/reduced,completed,58,63,73
Male,group D,Some College,standard,completed,63,55,63
Female,group A,Associate'S Degree,free/reduced,none,41,51,48
Male,group C,Some High School,free/reduced,none,61,57,56
Male,group C,Some High School,standard,none,49,49,41
Male,group B,Associate'S Degree,free/reduced,none,44,41,38
Male,group E,Some High School,standard,none,30,26,22
Male,group A,Bachelor'S Degree,standard,completed,80,78,81
Female,group D,Some High School,standard,completed,61,74,72
Female,group E,Master'S Degree,standard,none,62,68,68
Female,group B,Associate'S Degree,standard,none,47,49,50
Male,group B,High School,free/reduced,none,49,45,45
Male,group A,Some College,free/reduced,completed,50,47,54
Male,group E,Associate'S Degree,standard,none,72,64,63
Male,group D,High School,free/reduced,none,42,39,34
Female,group C,Some College,standard,none,73,80,82
Female,group C,Some College,free/reduced,none,76,83,88
Female,group D,Associate'S Degree,standard,none,71,71,74
Female,group A,Some College,standard,none,58,70,67
Female,group D,Some High School,standard,none,73,86,82
Female,group C,Bachelor'S Degree,standard,none,65,72,74
Male,group C,High School,free/reduced,none,27,34,36
Male,group C,High School,standard,none,71,79,71
Male,group C,Associate'S Degree,free/reduced,completed,43,45,50
Female,group B,Some College,standard,none,79,86,92
Male,group C,Associate'S Degree,free/reduced,completed,78,81,82
Male,group B,Some High School,standard,completed,65,66,62
Female,group E,Some College,standard,completed,63,72,70
Female,group D,Some College,free/reduced,none,58,67,62
Female,group D,Bachelor'S Degree,standard,none,65,67,62
Male,group B,Some College,standard,none,79,67,67
Male,group D,Bachelor'S Degree,standard,completed,68,74,74
Female,group D,Associate'S Degree,standard,none,85,91,89
Male,group B,High School,standard,completed,60,44,47
Male,group C,Some College,standard,completed,98,86,90
Female,group C,Some College,standard,none,58,67,72
Female,group D,Master'S Degree,standard,none,87,100,100
Male,group E,Associate'S Degree,standard,completed,66,63,64
Female,group B,Associate'S Degree,free/reduced,none,52,76,70
Female,group B,Some High School,standard,none,70,64,72
Female,group D,Associate'S Degree,free/reduced,completed,77,89,98
Male,group C,High School,standard,none,62,55,49
Male,group A,Associate'S Degree,standard,none,54,53,47
Female,group D,Some College,standard,none,51,58,54
Female,group E,Bachelor'S Degree,standard,completed,99,100,100
Male,group C,High School,standard,none,84,77,74
Female,group B,Bachelor'S Degree,free/reduced,none,75,85,82
Female,group D,Bachelor'S Degree,standard,none,78,82,79
Female,group D,Some High School,standard,none,51,63,61
Female,group C,Some College,standard,none,55,69,65
Female,group C,Bachelor'S Degree,standard,completed,79,92,89
Male,group B,Associate'S Degree,standard,completed,91,89,92
Female,group C,Some College,standard,completed,88,93,93
Male,group D,High School,free/reduced,none,63,57,56
Male,group E,Some College,standard,none,83,80,73
Female,group B,High School,standard,none,87,95,86
Male,group B,Some High School,standard,none,72,68,67
Male,group D,Some College,standard,completed,65,77,74
Male,group D,Master'S Degree,standard,none,82,82,74
Female,group A,Bachelor'S Degree,standard,none,51,49,51
Male,group D,Master'S Degree,standard,none,89,84,82
Male,group C,Some High School,free/reduced,completed,53,37,40
Male,group E,Some College,free/reduced,completed,87,74,70
Female,group C,Some College,standard,completed,75,81,84
Male,group D,Bachelor'S Degree,free/reduced,completed,74,79,75
Male,group C,Bachelor'S Degree,standard,none,58,55,48
Male,group B,Some High School,standard,completed,51,54,41
Male,group E,High School,standard,none,70,55,56
Female,group C,Associate'S Degree,standard,none,59,66,67
Male,group D,Some College,standard,completed,71,61,69
Female,group D,Some High School,standard,none,76,72,71
Female,group C,Some College,free/reduced,none,59,62,64
Female,group E,Some College,free/reduced,completed,42,55,54
Male,group A,High School,standard,none,57,43,47
Male,group D,Some College,standard,none,88,73,78
Female,group C,Some College,free/reduced,none,22,39,33
Male,group B,Some High School,standard,none,88,84,75
Male,group C,Associate'S Degree,free/reduced,none,73,68,66
Female,group D,Bachelor'S Degree,standard,completed,68,75,81
Male,group E,Associate'S Degree,free/reduced,completed,100,100,93
Male,group A,Some High School,standard,completed,62,67,69
Male,group A,Bachelor'S Degree,standard,none,77,67,68
Female,group B,Associate'S Degree,standard,completed,59,70,66
Male,group D,Bachelor'S Degree,standard,none,54,49,47
